genes	v3_locus
AC213463.3_FG007	TIDP9255
AC213524.3_FG003	tcptf42
AC213600.3_FG002	rz382a
AC213654.3_FG001	csu180
AC213666.3_FG003	ereb70
AC213857.4_FG003	Zm00001d031419
AC213884.3_FG001	rbp1
AC213884.3_FG002	myb119
AC214168.3_FG001	e2f17
AC214448.3_FG007	umc2268
AC214507.3_FG001	cfm6
AC214635.3_FG002	cl34400_1b
AC214648.3_FG005	lbd39
AC214791.2_FG002	pebp20
AC215198.3_FG002	ppr2263
AC215201.3_FG005	cps2
AC215260.3_FG001	pco115104
AC215260.3_FG003	hct7
AC215690.3_FG002	sacd11
AC216247.3_FG001	hsftf19
AC216731.3_FG001	bhlh89
AC216886.3_FG002	TIDP3730
AC217050.4_FG001	TIDP3052
AC217050.4_FG007	tps7
AC217051.3_FG006	pebp5
AC217264.3_FG001	mbd103
AC217264.3_FG005	myb58
AC217293.3_FG007	srk1
AC217358.3_FG003	cl27369_1
AC217358.3_FG005	phb4
AC217401.3_FG002	pco134646
AC217415.3_FG004	se1
AC217499.3_FG001	TIDP3322
AC217665.3_FG005	cl4777_1c
AC217842.3_FG001	ptk4
AC217910.3_FG004	IDP856
AC217910.3_FG006	lbd9
AC217962.3_FG005	cl59406_1
AC217965.2_FG012	tha8
AC217975.3_FG001	pdk4
AC218148.2_FG008	cl42883_1
AC218972.3_FG001	pco102994b
AC218973.3_FG003	lbd18
AC218998.2_FG011	cpps4
AC219006.2_FG007	rad51e
AC219020.4_FG002	glk33
AC219061.2_FG007	pco094349
AC219190.3_FG002	gpm68
AC220970.4_FG002	umc1240
AC225127.3_FG003	ms44
AC225147.4_FG003	alf15
AC225176.2_FG003	umc1330
AC225193.3_FG003	IDP665
AC226235.2_FG001	irl1
AC226235.2_FG002	cl59140_1
AC230011.2_FG002	rp3
AC230013.2_FG007	pco155588a
AC232238.2_FG004	lrs1
AC233751.1_FG002	not1
AC233850.1_FG002	pmei46
AC233850.1_FG003	pmei45
AC233850.1_FG005	e2f4
AC233853.1_FG002	bzip117
AC233865.1_FG003	nactf121
AC233866.1_FG006	elfa11
AC233870.1_FG006	pco129004(525)
AC233871.1_FG008	c3h33
AC233878.1_FG004	cap4
AC233879.1_FG002	esp1
AC233880.1_FG006	nlp1
AC233885.1_FG001	umc2512
AC233888.1_FG001	umc259a
AC233888.1_FG002	col7
AC233893.1_FG003	AC233893.1_FG003
AC233899.1_FG002	bhlh21
AC233899.1_FG004	hb12
AC233912.1_FG001	mads21
AC233933.1_FG001	ereb128
AC233935.1_FG005	dof30
AC233943.1_FG002	ra2
AC233945.1_FG003	csu240
AC233950.1_FG002	tb1
AC233953.1_FG005	hak2
AC233955.1_FG003	nas7
AC233959.1_FG003	cle18
AC233960.1_FG002	aox1
AC233960.1_FG003	glk11
AC233960.1_FG005	bhlh122
AC233961.1_FG001	sdg101
AC233979.1_FG009	cl35348_1
AC234149.1_FG002	lbd37
AC234152.1_FG002	kch6
AC234152.1_FG007	kch6
AC234154.1_FG008	TIDP3610
AC234155.1_FG002	glk25
AC234157.1_FG002	lem1
AC234161.1_FG001	piip1
AC234164.1_FG004	gras42
AC234185.1_FG004	umc1385
AC234185.1_FG006	mads59
AC234190.1_FG002	lac14
AC234199.1_FG003	atm1
AC234203.1_FG004	mrpa10
AC234203.1_FG011	eil13
AC234520.1_FG003	glk9
AC234521.1_FG006	tcptf34
AC234575.1_FG003	thr3
AC235534.1_FG007	ocl2
AC235535.1_FG001	chr126a
AC235541.1_FG002	umc1454
AC235543.1_FG003	umc2524
AC235546.1_FG001	mmc0162
AF546187.1_FG001	az19D1
AF546187.1_FG007	az19D2
AF546188.1_FG005	zp2
AF546188.1_FG007	de30
EF517601.1_FG010	gbptf21
EF517601.1_FG016	mfs18
GRMZM2G000039	cl8900_1
GRMZM2G000052	pao2
GRMZM2G000114	pco073802a
GRMZM2G000158	iaa25
GRMZM2G000171	bzip83
GRMZM2G000236	opr2
GRMZM2G000278	spk1
GRMZM2G000376	mmp108b
GRMZM2G000397	nsa1
GRMZM2G000404	mmc0411
GRMZM2G000423	gpm626
GRMZM2G000510	ucp3
GRMZM2G000520	ereb127
GRMZM2G000531	gpm633
GRMZM2G000566	si606045f03
GRMZM2G000581	xt6
GRMZM2G000608	mlks2
GRMZM2G000610	mterf14
GRMZM2G000615	pco067132
GRMZM2G000623	umc1279
GRMZM2G000633	Zm00001d026382
GRMZM2G000650	pco115693
GRMZM2G000660	si486077g03
GRMZM2G000686	nfya1
GRMZM2G000743	knox3
GRMZM2G000764	pmt1
GRMZM2G000812	sweet4a
GRMZM2G000816	pco089834a
GRMZM2G000818	myb11
GRMZM2G000842	bzip87
GRMZM2G000909	cl18247_1
GRMZM2G000945	umc2515
GRMZM2G000964	thx11
GRMZM2G000973	atg13d
GRMZM2G001048	abi36
GRMZM2G001106	mybr113
GRMZM2G001114	umc1433
GRMZM2G001116	pco135234
GRMZM2G001139	mads43
GRMZM2G001169	umc2279
GRMZM2G001205	znf5
GRMZM2G001221	cbl4
GRMZM2G001223	myb126
GRMZM2G001241	csu861
GRMZM2G001243	prh19
GRMZM2G001272	tubtf14
GRMZM2G001289	hb75
GRMZM2G001304	trps12
GRMZM2G001327	elfa12
GRMZM2G001375	umc1217
GRMZM2G001421	aas10
