genes	v3_locus
GRMZM2G115049	vdac2
GRMZM2G115070	mybr95
GRMZM2G115105	Zm00001d027921
GRMZM2G115156	cl10614_1b
GRMZM2G115176	pco138115
GRMZM2G115198	cl27616_1
GRMZM2G115304	pza01946
GRMZM2G115329	si618021e07
GRMZM2G115340	gpm875
GRMZM2G115357	iaa32
GRMZM2G115372	atp11
GRMZM2G115398	rz444d
GRMZM2G115420	serk2
GRMZM2G115424	chr109a
GRMZM2G115442	si606063d04
GRMZM2G115451	invan5
GRMZM2G115456	hsftf5
GRMZM2G115481	pco085810
GRMZM2G115491	si618049b08
GRMZM2G115516	tcptf5
GRMZM2G115518	cdpk1
GRMZM2G115564	rpo2
GRMZM2G115579	TIDP3522
GRMZM2G115628	cal4
GRMZM2G115635	nbcs2
GRMZM2G115658	umc1028
GRMZM2G115674	TIDP2876
GRMZM2G115701	tubtf9
GRMZM2G115721	nactf98
GRMZM2G115750	pco095480
GRMZM2G115757	pco107138
GRMZM2G115766	gpm163
GRMZM2G115805	gpm573
GRMZM2G115817	pco129375
GRMZM2G115859	myb111
GRMZM2G115875	si707014d06
GRMZM2G115925	pco068141
GRMZM2G115960	bhlh68
GRMZM2G115975	IDP182
GRMZM2G115981	AY110296
GRMZM2G115998	si605088g02
GRMZM2G116034	eif4
GRMZM2G116063	wox5b
GRMZM2G116079	zfp30
GRMZM2G116083	umc1316
GRMZM2G116087	cmu1
GRMZM2G116135	csu36c(rpL19)
GRMZM2G116140	pmei29
GRMZM2G116167	plt6
GRMZM2G116204	abp1
GRMZM2G116212	meg7
GRMZM2G116243	cl439_1b
GRMZM2G116273	gst1
GRMZM2G116427	cl31549_1
GRMZM2G116434	pza02676
GRMZM2G116475	dbb9
GRMZM2G116542	umc44a
GRMZM2G116557	arftf25
GRMZM2G116584	cbl10
GRMZM2G116614	zim28
GRMZM2G116629	si707033a12
GRMZM2G116638	gras21
GRMZM2G116646	yab5
GRMZM2G116658	ocl3
GRMZM2G116670	pco102947b
GRMZM2G116700	atg18f
GRMZM2G116785	bhlh5
GRMZM2G116812	IDP750
GRMZM2G116840	TIDP3143
GRMZM2G116878	ipt6
GRMZM2G116885	cki1
GRMZM2G117007	c3h7
GRMZM2G117057	pebp11
GRMZM2G117100	crd101
GRMZM2G117108	farl8
GRMZM2G117113	cl50024_-1
GRMZM2G117164	hb41
GRMZM2G117193	glk6
GRMZM2G117198	sams1
GRMZM2G117230	alt5
GRMZM2G117238	orc2
GRMZM2G117240	hmt2
GRMZM2G117244	myb140
GRMZM2G117298	pco147353
GRMZM2G117319	tps4
GRMZM2G117329	dsc1
GRMZM2G117388	der1
GRMZM2G117392	mlkg2
GRMZM2G117401	cl34021_1
GRMZM2G117439	umc1379
GRMZM2G117458	sdg111
GRMZM2G117497	mybr47
GRMZM2G117513	zim24
GRMZM2G117564	trpp3
GRMZM2G117574	dmag3
GRMZM2G117582	cal1
GRMZM2G117603	adf1
GRMZM2G117608	mlo10
GRMZM2G117609	IDP274
GRMZM2G117614	pco120561
GRMZM2G117633	cl35046_1b
GRMZM2G117685	umc1813
GRMZM2G117706	gpm853
GRMZM2G117755	hir1
GRMZM2G117771	pco142281
GRMZM2G117779	ufg13a
GRMZM2G117786	cl10585_1b
GRMZM2G117811	pco079496
GRMZM2G117851	bzip1
GRMZM2G117854	glk58
GRMZM2G117870	TIDP3513
GRMZM2G117878	ufgt2
GRMZM2G117935	sal1
GRMZM2G117940	GRMZM2G117940
GRMZM2G117942	GRMZM2G117942
GRMZM2G117949	gras71
GRMZM2G117961	mads45
GRMZM2G117971	pco080661a
GRMZM2G117984	gpm317
GRMZM2G117989	prp3
GRMZM2G118003	cl1052_1
GRMZM2G118014	si687003f04b
GRMZM2G118019	pco107884
GRMZM2G118022	ufg70
GRMZM2G118037	gpm191
GRMZM2G118047	hsftf28
GRMZM2G118063	hb17
GRMZM2G118172	vq10
GRMZM2G118205	fie1
GRMZM2G118214	gata7
GRMZM2G118243	gl13
GRMZM2G118250	ig1
GRMZM2G118286	AI795367
GRMZM2G118316	pco098048
GRMZM2G118345	pal6
GRMZM2G118362	phm2885
GRMZM2G118366	umc1375
GRMZM2G118385	TIDP3338
GRMZM2G118433	cl41895_1b
GRMZM2G118453	hstf2
GRMZM2G118462	trps15
GRMZM2G118485	hsftf14
GRMZM2G118490	Zm00001d052910
GRMZM2G118497	pco113850
GRMZM2G118515	tcp1
GRMZM2G118586	cl8986_1
GRMZM2G118587	cl16339_1
GRMZM2G118610	cl4921_1
GRMZM2G118690	bbr4
GRMZM2G118693	mybr64
GRMZM2G118737	invan2
GRMZM2G118759	grp5
GRMZM2G118770	me4
GRMZM2G118800	aldh13
GRMZM2G118821	irt1
GRMZM2G118873	expb14
GRMZM2G118884	dbb5
GRMZM2G118917	pza00381
GRMZM2G118950	amt3
GRMZM2G118992	TIDP2900
GRMZM2G119067	GRMZM2G119067
GRMZM2G119071	his2b2
GRMZM2G119104	si618060g08
GRMZM2G119116	AY110514
GRMZM2G119133	mybr28
GRMZM2G119169	rpl17a
GRMZM2G119175	umc2285
GRMZM2G119186	chi3
GRMZM2G119248	si683017d09
GRMZM2G119256	kds1
GRMZM2G119258	IDP851
GRMZM2G119261	mybr114
GRMZM2G119265	ms8
GRMZM2G119305	sacd10
GRMZM2G119357	phd2
GRMZM2G119359	si606013h03
GRMZM2G119411	gpm6
GRMZM2G119426	cl22611_1
GRMZM2G119482	aldh15
GRMZM2G119483	cl824_1
GRMZM2G119494	cdo1081a
GRMZM2G119499	gst11
GRMZM2G119571	atg11b
GRMZM2G119627	AY110141
GRMZM2G119640	c3h1
GRMZM2G119657	TIDP3739
GRMZM2G119689	mn1
GRMZM2G119691	emb17
GRMZM2G119693	myb91
GRMZM2G119696	cl8508_1
GRMZM2G119698	Zm00001d048936
GRMZM2G119703	hda102
GRMZM2G119705	rip2
GRMZM2G119714	knr6
GRMZM2G119722	cl2587_-2b
GRMZM2G119736	AY107629
GRMZM2G119755	cnr7
GRMZM2G119761	umc1374
GRMZM2G119778	IDP1634
GRMZM2G119783	xth1
GRMZM2G119791	TIDP3620
GRMZM2G119802	mbd123
GRMZM2G119809	arpp2a
GRMZM2G119823	bhlh108
GRMZM2G119852	adss1
GRMZM2G119864	pme16
GRMZM2G119865	ereb25
GRMZM2G119881	pco123247b
GRMZM2G119906	prin2
GRMZM2G119921	mterf15
GRMZM2G119941	incw4
GRMZM2G119970	nbcs9
GRMZM2G119999	hb127
GRMZM2G120008	gpm883
GRMZM2G120021	bhlh71
GRMZM2G120035	pco123983
GRMZM2G120047	prc1
GRMZM2G120115	IDP2443
GRMZM2G120136	ufg75b
GRMZM2G120151	tcptf23
GRMZM2G120163	hak24
GRMZM2G120167	bzip119
GRMZM2G120175	AY105728
GRMZM2G120178	add1
GRMZM2G120200	cl17797_1a
GRMZM2G120262	sun3
GRMZM2G120300	AY110374
GRMZM2G120302	aap1
GRMZM2G120320	wrky48
GRMZM2G120401	ereb194
GRMZM2G120408	umc1990
GRMZM2G120440	AY112175
GRMZM2G120484	pco115518b
GRMZM2G120539	pco078009
GRMZM2G120563	alt7
GRMZM2G120596	magi24643
GRMZM2G120619	IDP518
GRMZM2G120652	csu582
GRMZM2G120657	mmp195g
GRMZM2G120674	TIDP3172
GRMZM2G120740	pco088744
GRMZM2G120779	pme39
GRMZM2G120857	imd4
GRMZM2G120922	ysl14
GRMZM2G120987	ms6021
GRMZM2G121022	AY108844
GRMZM2G121063	hak15
GRMZM2G121074	sda1
GRMZM2G121111	mybr81
GRMZM2G121128	pco116177
GRMZM2G121137	gpm832
GRMZM2G121186	nfa102a
GRMZM2G121189	umc1787
GRMZM2G121208	rtl3
GRMZM2G121221	hon106a
GRMZM2G121229	TIDP3104
GRMZM2G121256	umc2248
GRMZM2G121262	fen1
GRMZM2G121278	pme30
GRMZM2G121308	expb15
GRMZM2G121309	iaa23
GRMZM2G121312	pgip2
GRMZM2G121333	umc1634
GRMZM2G121360	pco111663
GRMZM2G121366	bnlg2323
GRMZM2G121456	v30
GRMZM2G121458	mmp84
GRMZM2G121468	vp15
GRMZM2G121487	lbd32
GRMZM2G121495	umc1650
GRMZM2G121514	IDP2375
GRMZM2G121520	Zm00001d053984
GRMZM2G121543	rad51a
GRMZM2G121565	bak4
GRMZM2G121570	myb73
GRMZM2G121612	ss3
GRMZM2G121621	umc114
GRMZM2G121700	dao1
GRMZM2G121706	ofp3
GRMZM2G121715	si603009b06
GRMZM2G121743	pco107819
GRMZM2G121753	mybr89
GRMZM2G121790	TIDP3561
GRMZM2G121826	umc2022
GRMZM2G121840	umc1445
GRMZM2G121878	cah1
GRMZM2G121897	cadtfr10
GRMZM2G121960	hcf3
GRMZM2G122003	umc32b
GRMZM2G122045	laz3
GRMZM2G122053	TIDP3704
GRMZM2G122057	cl20634_1b
GRMZM2G122064	si687076d05
GRMZM2G122076	hb7
GRMZM2G122116	ptac2
GRMZM2G122148	cl35795_1
GRMZM2G122160	zim11
GRMZM2G122172	aldh18
GRMZM2G122228	prh8
GRMZM2G122230	pmei2
GRMZM2G122231	trps11
GRMZM2G122251	gpm678
GRMZM2G122267	pco085619
GRMZM2G122277	thx44
GRMZM2G122296	peamt1
GRMZM2G122327	fdx5
GRMZM2G122335	mpk18
GRMZM2G122337	fdx1
GRMZM2G122340	ckx11
GRMZM2G122357	pco068404
GRMZM2G122443	pza00413
GRMZM2G122447	vq52
GRMZM2G122479	me2
GRMZM2G122537	wox3a
GRMZM2G122543	sro1
GRMZM2G122607	atg18a
GRMZM2G122614	arftf6
GRMZM2G122615	nactf94
GRMZM2G122656	cl15601_2
GRMZM2G122666	umc2261
GRMZM2G122709	ofp26
GRMZM2G122750	hb3
GRMZM2G122762	AY110567
GRMZM2G122767	umc1329
GRMZM2G122793	ftr1
GRMZM2G122805	ras11E3
GRMZM2G122810	smt1
GRMZM2G122846	bzip97
GRMZM2G122863	asg73
GRMZM2G122871	elfg1
GRMZM2G122897	hb91
GRMZM2G122935	si486086g05
GRMZM2G122937	remo3
GRMZM2G122943	dgatiii1
GRMZM2G123014	gpm920
GRMZM2G123018	pme27
GRMZM2G123063	ago5c
GRMZM2G123089	rad51c
GRMZM2G123119	ereb177
GRMZM2G123140	ocl4
GRMZM2G123153	meg8
GRMZM2G123159	sgb102
GRMZM2G123202	myb54
GRMZM2G123204	pco144935
GRMZM2G123246	nactf105
GRMZM2G123277	trps7
GRMZM2G123308	glk55
GRMZM2G123373	npi587
GRMZM2G123387	wrky101
GRMZM2G123459	csu554b(rnh)
GRMZM2G123461	abi27
GRMZM2G123495	pco134753
GRMZM2G123519	umc32a
GRMZM2G123527	TIDP2811
GRMZM2G123558	glr1
GRMZM2G123585	mmp61
GRMZM2G123624	bcd207a
GRMZM2G123633	incw3
GRMZM2G123660	pco061840b
GRMZM2G123667	nactf125
GRMZM2G123709	pc326
GRMZM2G123714	cl16591_1
GRMZM2G123790	si687036a06
GRMZM2G123815	si687044h06
GRMZM2G123818	cle24
GRMZM2G123876	c3h30
GRMZM2G123884	bass1
GRMZM2G123886	mpk4
GRMZM2G123896	drm1
GRMZM2G123900	dof11
GRMZM2G123909	gata35
GRMZM2G123972	umc1108
GRMZM2G123977	acd6
GRMZM2G123987	gpat14
GRMZM2G124011	ereb65
GRMZM2G124037	dbf3
GRMZM2G124042	gpat16
GRMZM2G124047	IDP706
GRMZM2G124070	pco114292
GRMZM2G124079	umc1541
GRMZM2G124103	GRMZM2G124103
GRMZM2G124203	pco070813
GRMZM2G124276	bnlg2122
GRMZM2G124288	pco127498b
GRMZM2G124290	vq26
GRMZM2G124297	upl6
GRMZM2G124307	til2
GRMZM2G124317	TIDP2933
GRMZM2G124335	pco121523
GRMZM2G124421	ca5p7
GRMZM2G124434	IDP512
GRMZM2G124441	pco067763
GRMZM2G124455	sod10
GRMZM2G124466	c3h52
GRMZM2G124476	c3h52
GRMZM2G124495	glk52
GRMZM2G124524	wri1
GRMZM2G124532	phyB1
GRMZM2G124540	glk44
GRMZM2G124550	magi101072
GRMZM2G124557	AY104360
GRMZM2G124566	grftf9
GRMZM2G124567	IDP534
GRMZM2G124576	umc1472
GRMZM2G124593	pco109318
GRMZM2G124644	csu235
GRMZM2G124663	cadtfr7
GRMZM2G124715	myb64
GRMZM2G124718	parp1
GRMZM2G124732	ras11C2
GRMZM2G124744	GRMZM2G124744
GRMZM2G124785	nas9
GRMZM2G124791	umc1597
GRMZM2G124883	krp16
GRMZM2G124890	Zm00001d037694
GRMZM2G124911	tcp2
GRMZM2G124918	TIDP3727
GRMZM2G124963	alt10
GRMZM2G124974	cl15517_1
GRMZM2G125012	cl3398_1
GRMZM2G125023	tip5
GRMZM2G125032	GRMZM2G125032
GRMZM2G125037	umc38a
GRMZM2G125095	abi34
GRMZM2G125162	mab6
GRMZM2G125196	cl31479_3
GRMZM2G125233	umc146
GRMZM2G125239	gbptf14
GRMZM2G125241	umc2228
GRMZM2G125243	obf4
GRMZM2G125268	aldh2
GRMZM2G125271	rps4
GRMZM2G125294	hb29
GRMZM2G125304	umc1790a
GRMZM2G125342	umc1999
GRMZM2G125352	atg13f
GRMZM2G125356	pme1
GRMZM2G125411	coi1
GRMZM2G125432	GRMZM2G125432
GRMZM2G125460	ereb210
GRMZM2G125494	pza02337
GRMZM2G125501	gras73
GRMZM2G125516	pco103663
GRMZM2G125522	myb34
GRMZM2G125529	umc1702
GRMZM2G125596	abi47
GRMZM2G125617	pco115388
GRMZM2G125635	sam1
GRMZM2G125642	cdo105
GRMZM2G125648	nfd106
GRMZM2G125653	wrky53
GRMZM2G125669	aox2
GRMZM2G125704	glk36
GRMZM2G125731	Zm00001d009063
GRMZM2G125777	nactf12
GRMZM2G125838	umc19
GRMZM2G125893	pco069028
GRMZM2G125931	umc130
GRMZM2G125934	bzip85
GRMZM2G125943	hk6
GRMZM2G125969	hsftf4
GRMZM2G125976	hb76
GRMZM2G126002	pco064579
GRMZM2G126010	act1
GRMZM2G126018	sbp23
GRMZM2G126032	TIDP3409
GRMZM2G126038	cdo122a(nad)
GRMZM2G126148	thx38
GRMZM2G126170	hb55
GRMZM2G126190	act8
GRMZM2G126194	abi21
GRMZM2G126239	hb46
GRMZM2G126253	GRMZM2G126253
GRMZM2G126260	pin10
GRMZM2G126261	pco073925
GRMZM2G126361	pza03069
GRMZM2G126371	cl14379_1
GRMZM2G126397	plt3
GRMZM2G126413	vq40
GRMZM2G126471	pco133003
GRMZM2G126505	abh2
GRMZM2G126507	zim1
GRMZM2G126517	cl13733_1
GRMZM2G126545	mbd113
GRMZM2G126566	myb159
GRMZM2G126582	si605050a10
GRMZM2G126586	si606073g10
GRMZM2G126594	rpl17d
GRMZM2G126646	hb83
GRMZM2G126732	acco20
GRMZM2G126763	gst9
GRMZM2G126781	gst13
GRMZM2G126795	upl14
GRMZM2G126808	hb45
GRMZM2G126817	nactf39
GRMZM2G126821	arpp40
GRMZM2G126827	sbp12
GRMZM2G126832	pco111635
GRMZM2G126834	arr1
GRMZM2G126853	TIDP3676
GRMZM2G126856	hagtf12
GRMZM2G126936	nactf45
GRMZM2G126957	ca2p7
GRMZM2G126988	ss6
GRMZM2G127015	dek41
GRMZM2G127064	wrky21
GRMZM2G127067	gpm532
GRMZM2G127080	Zm00001d037495
GRMZM2G127087	tps6
GRMZM2G127106	expb11
GRMZM2G127121	pebp16
GRMZM2G127139	zep1
GRMZM2G127141	simk1
GRMZM2G127147	aga2
GRMZM2G127160	tar1
GRMZM2G127180	BE639846
GRMZM2G127184	fut2
GRMZM2G127232	ga20ox6
GRMZM2G127251	hct3
GRMZM2G127308	vt2
GRMZM2G127328	lht1
GRMZM2G127336	tps23
GRMZM2G127340	pco105342b
GRMZM2G127350	si603034f07
GRMZM2G127379	nactf25
GRMZM2G127393	bnl3.04
GRMZM2G127418	Bx14
GRMZM2G127421	chph2
GRMZM2G127429	aco10
GRMZM2G127431	ofp17
GRMZM2G127490	myb149
GRMZM2G127537	hb11
GRMZM2G127546	pco116203
GRMZM2G127548	bsdtf4
GRMZM2G127591	magi100893
GRMZM2G127635	umc1200
GRMZM2G127648	cl8907_1
GRMZM2G127656	magi85262
GRMZM2G127680	ofp29
GRMZM2G127729	pco102368
GRMZM2G127739	xlg1
GRMZM2G127757	ga2ox11
GRMZM2G127789	gst29
GRMZM2G127798	pgd1
GRMZM2G127857	myb39
GRMZM2G127911	umc2335
GRMZM2G127948	omt1
GRMZM2G127949	atl1
GRMZM2G128012	pco133815
GRMZM2G128016	cl31562_-1a
GRMZM2G128057	IDP263
GRMZM2G128114	aldh16
GRMZM2G128121	pdh4
GRMZM2G128171	pdi6
GRMZM2G128176	ddt4
GRMZM2G128189	si605050g03
GRMZM2G128206	limtf1
GRMZM2G128214	dgk6
GRMZM2G128228	rgh3
GRMZM2G128301	es4
GRMZM2G128319	AY110365
GRMZM2G128358	npi288a
GRMZM2G128395	GRMZM2G128395
GRMZM2G128421	iaa22
GRMZM2G128454	tha9
GRMZM2G128485	umc1257
GRMZM2G128491	pco068745
GRMZM2G128549	pme8
GRMZM2G128641	osca5
GRMZM2G128644	vq4
GRMZM2G128658	umc1121
GRMZM2G128663	cl29544_1a
GRMZM2G128665	atp4
GRMZM2G128682	pme17
GRMZM2G128688	gpm649
GRMZM2G128731	pco109555
GRMZM2G128807	bhlh127
GRMZM2G128880	pco129370
GRMZM2G128902	IDP2140
GRMZM2G128929	ldh1
GRMZM2G128938	atr1
GRMZM2G128953	mads28
GRMZM2G128971	fad7
GRMZM2G128995	GRMZM2G128995
GRMZM2G129034	zmm27
GRMZM2G129092	pmei27
GRMZM2G129140	vq27
GRMZM2G129147	grftf5
GRMZM2G129150	AY110835
GRMZM2G129154	gras2
GRMZM2G129157	ebe1
GRMZM2G129189	epr4
GRMZM2G129243	fha1
GRMZM2G129246	go1
GRMZM2G129247	bzip101
GRMZM2G129261	nkd1
GRMZM2G129266	hct13
GRMZM2G129268	cl28980_1a
GRMZM2G129288	tubtf10
GRMZM2G129311	farl12
GRMZM2G129357	gst6
GRMZM2G129413	aic1
GRMZM2G129428	rz538b
GRMZM2G129444	pco088261
GRMZM2G129451	ss1
GRMZM2G129453	TIDP3195
GRMZM2G129513	mdh6
GRMZM2G129554	pco063852
GRMZM2G129569	krp1
GRMZM2G129615	mcsf2
GRMZM2G129620	cl30871_1
GRMZM2G129674	ereb179
GRMZM2G129675	atg13a
GRMZM2G129681	cl52093_1
GRMZM2G129700	cl36095_1
GRMZM2G129777	ereb192
GRMZM2G129781	pco103363
GRMZM2G129783	ppr346
GRMZM2G129804	cl24029_1
GRMZM2G129815	vq56
GRMZM2G129817	mybr106
GRMZM2G129860	cyp11
GRMZM2G129872	mybr102
GRMZM2G129889	phyC2
GRMZM2G129913	spo1
GRMZM2G130002	umc104a
GRMZM2G130010	pco101520b
GRMZM2G130018	snrkII6
GRMZM2G130043	ss5
GRMZM2G130046	pco119626
GRMZM2G130109	cl8738_1a
GRMZM2G130131	ofp11
GRMZM2G130149	myb56
GRMZM2G130230	gpdh1
GRMZM2G130239	pipf2
GRMZM2G130332	pco102509
GRMZM2G130356	pco101788
GRMZM2G130358	AY110540
GRMZM2G130374	wrky3
GRMZM2G130382	zmm17
GRMZM2G130398	IDP744
GRMZM2G130425	cdc202
GRMZM2G130440	aldh20
GRMZM2G130442	ocl5a
GRMZM2G130459	ereb187
GRMZM2G130477	uaz6b
GRMZM2G130505	cl30502_1
GRMZM2G130544	AY109733
GRMZM2G130558	gpm211
GRMZM2G130634	cl804_1
GRMZM2G130678	adf6
GRMZM2G130728	TIDP3648
GRMZM2G130739	chr124
GRMZM2G130746	gpm729
GRMZM2G130749	dgati2
GRMZM2G130773	mterf9
GRMZM2G130790	cl56262_1
GRMZM2G130800	pco131712
GRMZM2G130854	wrky116
GRMZM2G130910	sdg110a
GRMZM2G130927	pza03092
GRMZM2G130943	pco124760
GRMZM2G130953	bif1
GRMZM2G130959	cl5360_1
GRMZM2G130987	pco109407
GRMZM2G131024	pco153932
GRMZM2G131152	AY110056
GRMZM2G131165	hct9
GRMZM2G131167	orrm4
GRMZM2G131202	trm3
GRMZM2G131205	cncr1
GRMZM2G131228	umc1708
GRMZM2G131243	umc2332
GRMZM2G131245	cl4488_1
GRMZM2G131249	pco128171
GRMZM2G131254	rhn1
GRMZM2G131266	ereb60
GRMZM2G131280	platz5
GRMZM2G131281	ereb116
GRMZM2G131286	pdrp1
GRMZM2G131309	mha10
GRMZM2G131334	mpk8
GRMZM2G131378	gpat9
GRMZM2G131409	csu221
GRMZM2G131421	umc1698
GRMZM2G131442	myb4
GRMZM2G131476	hb121
GRMZM2G131487	Zm00001d051061
GRMZM2G131489	si486069e02
GRMZM2G131516	scro1
GRMZM2G131554	mmp34
GRMZM2G131595	IDP68
GRMZM2G131618	hagtf3
GRMZM2G131623	bcd386a
GRMZM2G131756	ros1
GRMZM2G131785	AY110217
GRMZM2G131836	cncr2
GRMZM2G131897	dof18
GRMZM2G131907	pco061446a
GRMZM2G131937	myb33
GRMZM2G131939	gbp1
GRMZM2G131957	umc1132
GRMZM2G131961	bzip27
GRMZM2G131982	dbb2
GRMZM2G132021	crs2
GRMZM2G132032	si606024c08
GRMZM2G132036	csu340
GRMZM2G132060	umc1373
GRMZM2G132077	umc1611
GRMZM2G132084	tlc4
GRMZM2G132093	gst2
GRMZM2G132116	abk1
GRMZM2G132121	rps27c
GRMZM2G132162	gpm549
GRMZM2G132169	lac9
GRMZM2G132185	ereb83
GRMZM2G132223	ereb29
GRMZM2G132227	AY110382
GRMZM2G132367	hb5
GRMZM2G132371	krp8
GRMZM2G132373	cl31817_1
GRMZM2G132442	anx3
GRMZM2G132461	anx4
GRMZM2G132478	cyp28
GRMZM2G132486	umc1333
GRMZM2G132489	yuc5
GRMZM2G132519	pco078628
GRMZM2G132550	bhlh124
GRMZM2G132568	pco086679
GRMZM2G132577	Zm00001d011189
GRMZM2G132607	TIDP3261
GRMZM2G132623	TIDP3261
GRMZM2G132653	cl2814_1a
GRMZM2G132667	lbd8
GRMZM2G132693	lbd17
GRMZM2G132759	AY104017
GRMZM2G132763	bak2
GRMZM2G132777	nagk1
GRMZM2G132780	sert1
GRMZM2G132794	gras58
GRMZM2G132868	bzip116
GRMZM2G132880	pebp6
GRMZM2G132903	ech1
GRMZM2G132929	rps12a
GRMZM2G132936	irr1
GRMZM2G132971	hsftf11
GRMZM2G133021	cl8385_1
GRMZM2G133050	magi94754
GRMZM2G133082	ippi3
GRMZM2G133146	pmei26
GRMZM2G133168	ereb103
GRMZM2G133169	gras65
GRMZM2G133213	fcr1
GRMZM2G133262	arr5
GRMZM2G133311	ofp15
GRMZM2G133314	cl40794_1
GRMZM2G133322	sweet12a
GRMZM2G133331	fea4
GRMZM2G133370	bap3b
GRMZM2G133382	bap3a
GRMZM2G133398	vp1
GRMZM2G133407	pco095801
GRMZM2G133413	cyc14
GRMZM2G133475	GRMZM2G133475
GRMZM2G133552	umc1304
GRMZM2G133624	pco126622
GRMZM2G133631	pyl9
GRMZM2G133646	sbp24
GRMZM2G133675	pco136360
GRMZM2G133684	GRMZM2G133684
GRMZM2G133716	fha6
GRMZM2G133756	IDP85
GRMZM2G133764	umc1153
GRMZM2G133802	tub5
GRMZM2G133806	ial1
GRMZM2G133819	IDP1466
GRMZM2G133885	cl40750_1
GRMZM2G133895	umc1557a
GRMZM2G133919	prl1
GRMZM2G133937	si618006e06
GRMZM2G133943	pld9
GRMZM2G133952	mlh1
GRMZM2G133958	asg41
GRMZM2G133966	trps12
GRMZM2G133972	wox9a
GRMZM2G134023	si707003h11a
GRMZM2G134044	pco115368
GRMZM2G134054	pap2
GRMZM2G134067	cl24571_1a
GRMZM2G134073	nactf9
GRMZM2G134104	pco139316
GRMZM2G134109	rps21b
GRMZM2G134134	sudh7
GRMZM2G134149	nrh2
GRMZM2G134178	mmc0132
GRMZM2G134205	asg58
GRMZM2G134214	phd32
GRMZM2G134227	pco110869
GRMZM2G134256	IDP2350
GRMZM2G134260	hb77
GRMZM2G134279	myb29
GRMZM2G134295	pco089553b
GRMZM2G134313	pco083336
GRMZM2G134341	umc2635
GRMZM2G134367	umc1467
GRMZM2G134382	lgn1
GRMZM2G134385	gpm697
GRMZM2G134389	TIDP2772
GRMZM2G134398	pco070149
GRMZM2G134426	hagtf39
GRMZM2G134430	TIDP2671
GRMZM2G134439	thx13
GRMZM2G134476	pco121378
GRMZM2G134480	php20020
GRMZM2G134497	cl15300_1
GRMZM2G134517	iaa43
GRMZM2G134539	IDP620
GRMZM2G134545	dof14
GRMZM2G134550	si946063b09b
GRMZM2G134559	IDP114
GRMZM2G134582	rz476a
GRMZM2G134613	atg8d
GRMZM2G134628	prh13
GRMZM2G134634	ckx8
GRMZM2G134668	clx1
GRMZM2G134671	col15
GRMZM2G134687	nactf88
GRMZM2G134708	gpm592
GRMZM2G134717	nactf1
GRMZM2G134735	bhlh135
GRMZM2G134747	cl3683_1
GRMZM2G134752	limtf8
GRMZM2G134756	TIDP3108
GRMZM2G134759	pco122535
GRMZM2G134761	pco106891
GRMZM2G134770	pco133651b
GRMZM2G134797	ndk1
GRMZM2G134863	bzip76
GRMZM2G134866	gbptf8
GRMZM2G134889	pdi3
GRMZM2G134903	ugu1
GRMZM2G134917	cdj1
GRMZM2G134930	umc59a
GRMZM2G134941	fpf1
GRMZM2G134947	px13
GRMZM2G134955	phb1
GRMZM2G134980	cdj3
GRMZM2G135018	mads27
GRMZM2G135019	la1
GRMZM2G135045	cl13018_1
GRMZM2G135052	mybr69
GRMZM2G135091	ppck2
GRMZM2G135095	cl11440_1b
GRMZM2G135108	pox3
GRMZM2G135186	ant2
GRMZM2G135286	xgt2
GRMZM2G135291	ysl2
GRMZM2G135322	IDP319
GRMZM2G135341	aldh22
GRMZM2G135381	gata32
GRMZM2G135410	mybr93
GRMZM2G135444	TIDP2851
GRMZM2G135446	TIDP3698
GRMZM2G135447	hb8
GRMZM2G135452	ereb72
GRMZM2G135461	tcptf22
GRMZM2G135470	aldh26
GRMZM2G135586	GRMZM2G135586
GRMZM2G135588	cts4
GRMZM2G135651	pco147657
GRMZM2G135654	csu505(rpL7)
GRMZM2G135664	umc2264
GRMZM2G135674	nc2
GRMZM2G135691	AY105205
GRMZM2G135703	dof19
GRMZM2G135739	mstr1
GRMZM2G135763	pgh1
GRMZM2G135770	rcc3
GRMZM2G135783	srs7
GRMZM2G135795	pco145446
GRMZM2G135849	hagtf4
GRMZM2G135866	IDP2492
GRMZM2G135877	drg5
GRMZM2G135904	mpk9
GRMZM2G135978	tir1
GRMZM2G136032	pip1f
GRMZM2G136067	hda108
GRMZM2G136081	IDP1425
GRMZM2G136106	pme19
GRMZM2G136139	invan1
GRMZM2G136262	IDP49
GRMZM2G136266	bzip10
GRMZM2G136283	umc2770
GRMZM2G136306	si606031e03a
GRMZM2G136341	pco091513b
GRMZM2G136344	zep2
GRMZM2G136364	IDP2455
GRMZM2G136369	hox1
GRMZM2G136389	hagtf37
GRMZM2G136439	gpm440
GRMZM2G136453	pap15
GRMZM2G136486	pco094531
GRMZM2G136494	cchh46
GRMZM2G136538	umc1120
GRMZM2G136559	emb18
GRMZM2G136563	vpsh26
GRMZM2G136567	phi121
GRMZM2G136599	pco116085
GRMZM2G136700	cl22526_1
GRMZM2G136712	pco076481
GRMZM2G136765	si707002b03b
GRMZM2G136800	pco078885
GRMZM2G136803	pco061836
GRMZM2G136831	umc109
GRMZM2G136838	krp2
GRMZM2G136859	mib1
GRMZM2G136872	nbcs21
GRMZM2G136887	smh1
GRMZM2G136889	pco071008a
GRMZM2G136910	aasr1
GRMZM2G136918	pco143240a
GRMZM2G137009	ufg15
GRMZM2G137046	bzip61
GRMZM2G137108	nip2b
