GeneID,ZmPep3,antiZm3
GRMZM2G418153,2.59003946,-2.179718928
GRMZM2G176998,2.580517849,-2.174527736
GRMZM2G394410,2.562111464,-2.17159562
GRMZM2G324903,2.559092605,-2.171581394
GRMZM2G141026,2.555573197,-2.166473044
GRMZM2G331368,2.555235501,-2.159241519
GRMZM2G161310,2.546628558,-2.158113049
GRMZM5G852609,2.538619125,-2.149948925
GRMZM2G011523,2.537634436,-2.148378387
GRMZM2G024476,2.534567781,-2.144135639
GRMZM2G477139,2.528108643,-2.142836329
GRMZM2G002178,2.494567462,-2.141726981
GRMZM2G138074,2.486256286,-2.137081646
GRMZM2G164405,2.484360268,-2.133349659
GRMZM2G030436,2.478843503,-2.127575192
AC198725.4_FG009,2.473336849,-2.114598359
GRMZM2G074248,2.471344874,-2.113216275
GRMZM2G033098,2.470113795,-2.109894321
GRMZM2G047384,2.46222505,-2.109044064
GRMZM2G053493,2.439540063,-2.106762939
GRMZM2G079616,2.436394542,-2.10093133
GRMZM2G077316,2.429458212,-2.100603878
GRMZM2G178415,2.425099297,-2.099594901
GRMZM2G054040,2.408020009,-2.096851139
GRMZM2G039278,2.396486176,-2.08050637
GRMZM2G138382,2.373031598,-2.079608058
GRMZM2G415579,2.365449802,-2.077788309
GRMZM2G071390,2.354959916,-2.077195178
GRMZM2G134279,2.348922388,-2.075220556
GRMZM2G041699,2.318736926,-2.073383854
GRMZM2G000510,2.317093668,-2.072838377
GRMZM2G382569,2.302049375,-2.069824591
AC207043.3_FG002,2.295775238,-2.066191475
GRMZM2G028677,2.288761621,-2.064073498
GRMZM2G407825,2.287642562,-2.063026898
AC196726.2_FG001,2.286460808,-2.061812064
GRMZM2G112524,2.285783542,-2.054679454
GRMZM2G108133,2.285470299,-2.053293632
GRMZM2G447632,2.285082098,-2.051846261
GRMZM2G169329,2.284360547,-2.04379718
GRMZM2G176495,2.281832146,-2.037345989
GRMZM2G145972,2.279968456,-2.037209589
GRMZM2G094375,2.276777386,-2.036620398
GRMZM2G382557,2.269187253,-2.036240243
GRMZM2G138370,2.26902777,-2.032044278
GRMZM2G162486,2.265665471,-2.030619446
GRMZM2G154090,2.261987558,-2.025959446
GRMZM2G165099,2.252114401,-2.025224969
GRMZM2G009045,2.251769902,-2.025119404
AC205471.4_FG003,2.249170965,-2.024214713
GRMZM2G134045,2.248285231,-2.02420718
GRMZM2G102497,2.244645213,-2.022132167
GRMZM2G075283,2.243379956,-2.018636985
GRMZM2G118610,2.241406477,-2.011533033
GRMZM2G087827,2.240628169,-2.004188587
GRMZM2G072529,2.237758221,-2.001814028
GRMZM2G173195,2.235805412,-2.00040282
GRMZM2G007729,2.218310353,-1.996878783
GRMZM2G075461,2.218280882,-1.993170631
GRMZM2G099619,2.193013677,-1.988996964
GRMZM2G144997,2.187513393,-1.988801238
GRMZM2G569948,2.182425025,-1.986134016
GRMZM2G090779,2.181264508,-1.985951434
GRMZM2G177340,2.176406938,-1.98542235
GRMZM2G124417,2.168858728,-1.984716255
GRMZM2G026470,2.164587385,-1.984475708
GRMZM2G053324,2.159402623,-1.982094702
GRMZM5G811095,2.155241302,-1.981915231
GRMZM2G132509,2.144967182,-1.976694497
GRMZM2G134708,2.143071144,-1.974297511
GRMZM2G060561,2.139724293,-1.972416158
GRMZM2G359581,2.138330323,-1.969982251
GRMZM2G149935,2.137538041,-1.968421998
GRMZM2G008216,2.130061392,-1.964004256
GRMZM2G117993,2.127446881,-1.95954654
GRMZM2G166218,2.123646096,-1.95515619
AC205413.4_FG001,2.123257748,-1.953896454
GRMZM2G148904,2.123103163,-1.949283311
GRMZM2G333980,2.112536335,-1.946419406
GRMZM2G101000,2.111900834,-1.942921137
GRMZM2G350225,2.098227023,-1.940019992
GRMZM2G334181,2.091016091,-1.936561134
GRMZM2G134476,2.089166631,-1.935336541
AC217947.4_FG002,2.084652795,-1.934759093
GRMZM2G170734,2.079263943,-1.9341616
GRMZM2G129140,2.075764766,-1.933529696
GRMZM2G131055,2.068798581,-1.933447037
GRMZM2G046070,2.06361828,-1.93305176
GRMZM2G133407,2.061817122,-1.933008131
GRMZM2G446201,2.057451295,-1.932695099
GRMZM2G021786,2.056898022,-1.931181291
GRMZM2G071374,2.054412456,-1.920572308
GRMZM2G352855,2.050245786,-1.920134348
GRMZM2G010433,2.048446281,-1.916974394
GRMZM2G067789,2.036986058,-1.915153437
GRMZM2G120320,2.034111855,-1.911123077
GRMZM2G336533,2.027751074,-1.905256087
GRMZM2G033905,2.023426761,-1.903346017
GRMZM2G039385,2.017466922,-1.903081349
GRMZM2G101024,2.004183559,-1.898968584
GRMZM2G168108,2.000095606,-1.896343677
GRMZM2G435986,1.997766676,-1.889735908
GRMZM2G170612,1.988205585,-1.886496712
GRMZM2G440003,1.980008482,-1.886240514
GRMZM2G004858,1.969962159,-1.885525128
GRMZM2G015892,1.969481975,-1.88278823
GRMZM2G091226,1.967754943,-1.882287552
GRMZM2G382785,1.964753664,-1.872899578
