genes,SLB
GRMZM2G093554,6.639
GRMZM2G326335,6.632
GRMZM2G124815,6.630
GRMZM2G041959,6.625
GRMZM2G126749,6.624
GRMZM2G139894,6.597
GRMZM2G056231,6.594
GRMZM2G116902,6.592
GRMZM2G025190,6.591
GRMZM2G046331,6.584
GRMZM2G316033,6.576
GRMZM2G148400,6.564
GRMZM2G010702,6.560
GRMZM2G176430,6.558
GRMZM2G445958,6.554
GRMZM2G126541,6.546
GRMZM2G453805,6.545
GRMZM2G164405,6.539
GRMZM2G043799,6.531
GRMZM5G809417,6.499
GRMZM2G170281,6.493
GRMZM2G061527,6.486
AC234190.1_FG002,6.471
GRMZM2G062974,6.456
GRMZM2G162098,6.454
GRMZM2G438871,6.426
GRMZM2G385428,6.425
GRMZM2G088778,6.420
GRMZM2G029270,6.414
GRMZM2G447795,6.411
GRMZM2G097524,6.401
GRMZM2G107481,6.400
GRMZM2G077655,6.388
GRMZM5G814057,6.388
GRMZM2G125669,6.385
GRMZM2G142919,6.381
GRMZM2G112074,6.366
GRMZM2G355846,6.364
GRMZM2G178817,6.362
AC207628.4_FG010,6.358
GRMZM2G134708,6.352
GRMZM2G047791,6.349
GRMZM2G011151,6.348
GRMZM5G894619,6.345
GRMZM2G400533,6.343
GRMZM2G356556,6.339
GRMZM2G366910,6.337
GRMZM2G086934,6.308
GRMZM2G367026,6.308
GRMZM2G063024,6.295
GRMZM2G147210,6.283
GRMZM2G047139,6.277
GRMZM2G399530,6.276
GRMZM2G178875,6.271
GRMZM2G061403,6.263
GRMZM2G161472,6.261
GRMZM5G863076,6.260
GRMZM2G162829,6.259
GRMZM2G130119,6.250
GRMZM2G461159,6.231
GRMZM2G372058,6.229
GRMZM2G117365,6.214
GRMZM2G044493,6.207
GRMZM2G087625,6.204
GRMZM2G394261,6.201
GRMZM2G010596,6.200
GRMZM2G450055,6.177
GRMZM2G131099,6.172
GRMZM2G061806,6.153
GRMZM2G065888,6.145
GRMZM2G302927,6.138
GRMZM2G047456,6.131
GRMZM2G312201,6.122
GRMZM2G100639,6.122
GRMZM2G415579,6.107
GRMZM2G056467,6.094
GRMZM5G877500,6.083
GRMZM2G148855,6.080
GRMZM2G381441,6.077
GRMZM2G141473,6.077
GRMZM2G112149,6.074
GRMZM2G080079,6.069
GRMZM2G112456,6.063
GRMZM2G080887,6.063
GRMZM5G842965,6.041
GRMZM2G333923,6.036
GRMZM2G100727,6.032
GRMZM2G083350,6.027
GRMZM2G030436,6.027
GRMZM2G075978,6.017
GRMZM2G125923,5.995
GRMZM5G882364,5.992
GRMZM2G119246,5.990
GRMZM2G314064,5.987
GRMZM2G479980,5.987
GRMZM2G119322,5.980
GRMZM2G143139,5.975
GRMZM2G053284,5.972
GRMZM2G173067,5.970
GRMZM2G099619,5.968
GRMZM2G400718,5.967
GRMZM2G468610,5.957
GRMZM2G044773,5.956
GRMZM5G849600,5.952
GRMZM2G174458,5.944
GRMZM2G041418,5.930
GRMZM2G064106,5.930
GRMZM2G081458,5.929
