genes,SLB
GRMZM5G855891,2.795
GRMZM2G464782,2.795
GRMZM2G120740,2.794
GRMZM2G128938,2.794
GRMZM2G075247,2.793
GRMZM2G032447,2.792
GRMZM2G040052,2.792
GRMZM2G169871,2.791
GRMZM2G033555,2.791
GRMZM2G168629,2.790
GRMZM2G104418,2.790
GRMZM2G047161,2.789
GRMZM2G140500,2.789
GRMZM2G057448,2.789
GRMZM2G111928,2.788
GRMZM2G088443,2.788
GRMZM2G109354,2.788
GRMZM2G088795,2.788
GRMZM2G420432,2.787
GRMZM2G164085,2.786
GRMZM5G834354,2.785
GRMZM2G340130,2.785
GRMZM2G044457,2.785
GRMZM2G071573,2.785
GRMZM2G093902,2.784
GRMZM2G024823,2.784
GRMZM2G018417,2.783
AC211892.4_FG002,2.783
GRMZM2G030594,2.782
GRMZM2G069195,2.780
AC203841.3_FG009,2.780
GRMZM2G301699,2.780
GRMZM2G103972,2.779
GRMZM2G109121,2.778
GRMZM2G132991,2.777
GRMZM2G047486,2.777
GRMZM2G070765,2.777
GRMZM2G034622,2.777
GRMZM2G039362,2.776
GRMZM2G481005,2.776
GRMZM2G084762,2.776
GRMZM2G123014,2.775
GRMZM2G002115,2.775
GRMZM2G088828,2.775
GRMZM2G014951,2.775
GRMZM2G061099,2.775
GRMZM2G003190,2.774
GRMZM2G068340,2.774
GRMZM2G102000,2.773
GRMZM2G029922,2.772
GRMZM2G168985,2.771
GRMZM2G068158,2.771
GRMZM2G152732,2.771
GRMZM2G063203,2.770
GRMZM2G434445,2.770
GRMZM2G080501,2.769
GRMZM2G022229,2.769
GRMZM2G117786,2.768
GRMZM2G097116,2.768
GRMZM2G126260,2.766
GRMZM2G125148,2.766
AC187567.4_FG004,2.764
GRMZM2G138419,2.764
GRMZM2G162082,2.764
GRMZM2G032070,2.764
AC213800.3_FG001,2.763
GRMZM2G062826,2.763
GRMZM2G009009,2.763
GRMZM2G300788,2.763
GRMZM2G365768,2.763
GRMZM2G035595,2.762
GRMZM2G354525,2.762
GRMZM2G092101,2.761
GRMZM2G001288,2.761
GRMZM2G107798,2.761
GRMZM2G469111,2.760
GRMZM2G157621,2.759
GRMZM2G388576,2.759
GRMZM2G179215,2.759
GRMZM5G836567,2.759
GRMZM2G035651,2.758
GRMZM2G005640,2.757
GRMZM2G099434,2.757
GRMZM2G090300,2.756
GRMZM2G082586,2.756
GRMZM2G070503,2.756
GRMZM2G303768,2.754
GRMZM2G091715,2.754
GRMZM2G053384,2.753
GRMZM2G303655,2.753
GRMZM2G154574,2.753
GRMZM2G400092,2.752
GRMZM2G461791,2.751
GRMZM2G147726,2.751
GRMZM2G383623,2.751
GRMZM2G332522,2.751
GRMZM2G022884,2.750
GRMZM2G117878,2.750
GRMZM2G106222,2.750
GRMZM2G011483,2.749
GRMZM2G068657,2.749
GRMZM2G105787,2.749
AC204711.3_FG003,2.749
GRMZM2G162396,2.748
GRMZM2G553314,2.746
AC190480.1_FG007,2.746
GRMZM2G147920,2.746
GRMZM2G446253,2.745
GRMZM2G107239,2.745
GRMZM2G136039,2.745
GRMZM2G094444,2.745
GRMZM2G150893,2.744
GRMZM2G015238,2.744
GRMZM2G143165,2.744
GRMZM2G181422,2.744
GRMZM2G039671,2.743
GRMZM2G146794,2.743
GRMZM2G108023,2.742
GRMZM2G110212,2.742
GRMZM2G703918,2.742
GRMZM2G079323,2.742
GRMZM2G013349,2.742
GRMZM2G003043,2.742
GRMZM2G162988,2.741
GRMZM2G426553,2.741
GRMZM2G069408,2.741
GRMZM5G832994,2.740
GRMZM2G451231,2.740
GRMZM2G464754,2.739
GRMZM2G019056,2.739
GRMZM2G057576,2.739
GRMZM2G469901,2.739
GRMZM5G844257,2.739
GRMZM5G898471,2.739
GRMZM2G012942,2.738
GRMZM2G060464,2.738
GRMZM2G117612,2.737
GRMZM2G147780,2.737
GRMZM2G021921,2.736
GRMZM2G051502,2.736
GRMZM2G008539,2.736
GRMZM2G032336,2.735
GRMZM2G102815,2.735
GRMZM2G325285,2.735
GRMZM2G142664,2.735
GRMZM2G332280,2.734
GRMZM2G041797,2.734
GRMZM2G113089,2.734
GRMZM2G456568,2.734
GRMZM2G145370,2.734
GRMZM2G391794,2.734
GRMZM2G170049,2.733
GRMZM2G073123,2.733
GRMZM2G011070,2.733
GRMZM2G106906,2.733
GRMZM2G465444,2.732
GRMZM2G067225,2.731
GRMZM2G056661,2.731
GRMZM2G410487,2.731
GRMZM5G866082,2.731
GRMZM2G010357,2.730
GRMZM2G108057,2.730
GRMZM5G824201,2.730
GRMZM2G381025,2.729
GRMZM2G099270,2.729
GRMZM2G091563,2.729
GRMZM2G086882,2.729
GRMZM2G017368,2.729
GRMZM2G026930,2.728
GRMZM2G122983,2.728
GRMZM2G165483,2.728
GRMZM2G120857,2.727
GRMZM2G174671,2.727
GRMZM2G102242,2.726
GRMZM2G044092,2.726
GRMZM2G063775,2.725
GRMZM2G172138,2.725
GRMZM2G392172,2.724
GRMZM2G150337,2.724
GRMZM2G090849,2.724
GRMZM2G171045,2.723
GRMZM2G378106,2.723
GRMZM2G001898,2.723
GRMZM2G429714,2.722
GRMZM2G120839,2.722
GRMZM2G063517,2.721
GRMZM2G123540,2.721
GRMZM2G179411,2.721
GRMZM2G087749,2.721
GRMZM2G016660,2.721
GRMZM5G861300,2.720
GRMZM2G068755,2.720
GRMZM2G365282,2.720
GRMZM2G040587,2.719
GRMZM2G452026,2.719
GRMZM2G086937,2.718
AC195340.3_FG004,2.718
AC217121.3_FG007,2.717
GRMZM2G005278,2.717
GRMZM5G899149,2.717
GRMZM2G038880,2.716
GRMZM2G040296,2.716
GRMZM2G444560,2.716
GRMZM2G070649,2.716
GRMZM2G096585,2.716
GRMZM2G017671,2.715
GRMZM2G446895,2.715
GRMZM2G111713,2.714
GRMZM2G121812,2.714
GRMZM2G042040,2.713
GRMZM2G067036,2.713
GRMZM2G136296,2.713
GRMZM5G810191,2.712
GRMZM2G158083,2.712
GRMZM2G078238,2.709
GRMZM5G856881,2.708
GRMZM2G327659,2.708
GRMZM2G124477,2.707
GRMZM2G348697,2.707
GRMZM2G177570,2.707
GRMZM2G004382,2.706
GRMZM2G133675,2.706
GRMZM2G449479,2.703
GRMZM2G093101,2.703
AC177899.2_FG009,2.702
GRMZM2G453794,2.702
GRMZM2G003635,2.701
GRMZM2G078985,2.701
GRMZM2G143205,2.700
GRMZM2G000481,2.699
GRMZM2G063519,2.699
GRMZM2G478779,2.699
GRMZM2G100234,2.698
GRMZM2G098305,2.697
GRMZM2G408379,2.695
GRMZM2G436295,2.695
GRMZM2G501450,2.695
GRMZM2G031893,2.694
AC210596.3_FG003,2.694
GRMZM2G138230,2.694
GRMZM2G035118,2.693
GRMZM2G115049,2.693
GRMZM2G105335,2.693
GRMZM2G027059,2.692
GRMZM2G009464,2.692
GRMZM2G165638,2.692
GRMZM2G331779,2.691
GRMZM2G118265,2.691
GRMZM2G389645,2.691
GRMZM2G048472,2.691
GRMZM2G444874,2.690
GRMZM2G137861,2.689
GRMZM2G149520,2.689
GRMZM2G021436,2.688
GRMZM2G094698,2.688
GRMZM5G801457,2.687
GRMZM2G022777,2.687
GRMZM2G164538,2.687
GRMZM5G840909,2.686
GRMZM2G123459,2.686
GRMZM2G040947,2.685
GRMZM2G024778,2.685
GRMZM2G181378,2.684
GRMZM2G005350,2.683
GRMZM2G398755,2.682
GRMZM2G411260,2.682
GRMZM2G019673,2.682
GRMZM5G887390,2.682
GRMZM2G011491,2.682
GRMZM2G386714,2.681
GRMZM2G452121,2.681
GRMZM2G126975,2.681
GRMZM2G070563,2.679
GRMZM2G078541,2.679
GRMZM2G034855,2.677
GRMZM2G176721,2.677
GRMZM2G031323,2.676
GRMZM2G163658,2.674
GRMZM2G063394,2.674
GRMZM2G019121,2.673
GRMZM2G124509,2.673
GRMZM2G042615,2.673
GRMZM2G080380,2.673
GRMZM2G158179,2.672
GRMZM2G554914,2.672
GRMZM6G348677,2.672
GRMZM5G830250,2.672
GRMZM2G097297,2.672
GRMZM2G138782,2.671
GRMZM2G069886,2.671
GRMZM2G006752,2.671
GRMZM5G816015,2.670
GRMZM2G028129,2.670
GRMZM2G022915,2.669
GRMZM2G177077,2.669
GRMZM2G493946,2.669
GRMZM2G076657,2.669
GRMZM2G028501,2.669
GRMZM2G415007,2.668
GRMZM5G824831,2.668
GRMZM2G008607,2.668
GRMZM2G032042,2.668
GRMZM2G020409,2.667
AC185276.2_FG006,2.666
GRMZM2G072054,2.666
AC207890.3_FG002,2.666
GRMZM2G148962,2.665
GRMZM2G071208,2.665
GRMZM2G171807,2.664
GRMZM2G060290,2.663
GRMZM5G865595,2.663
GRMZM2G080174,2.662
GRMZM2G022694,2.661
GRMZM2G179002,2.660
GRMZM2G092741,2.660
GRMZM2G131539,2.660
GRMZM2G030578,2.660
GRMZM5G827171,2.660
AC186669.3_FG002,2.659
GRMZM2G014069,2.658
AC197029.3_FG003,2.658
GRMZM2G373329,2.657
AC194341.4_FG004,2.657
GRMZM2G019257,2.656
GRMZM2G059018,2.656
GRMZM2G063851,2.656
GRMZM2G173596,2.656
GRMZM2G165188,2.655
GRMZM2G341747,2.655
GRMZM2G078275,2.655
GRMZM2G093855,2.654
GRMZM2G034598,2.653
AC207728.2_FG003,2.653
GRMZM2G057176,2.653
GRMZM2G029219,2.653
GRMZM2G383833,2.653
AC218457.2_FG013,2.653
GRMZM2G032218,2.653
GRMZM2G131202,2.652
GRMZM2G074381,2.652
GRMZM2G167999,2.652
GRMZM2G116640,2.652
GRMZM2G053019,2.652
GRMZM5G850904,2.651
GRMZM2G046293,2.651
GRMZM2G323754,2.651
GRMZM2G081148,2.649
GRMZM2G104268,2.649
GRMZM2G137558,2.649
GRMZM2G055180,2.648
GRMZM2G120076,2.648
GRMZM2G074122,2.648
GRMZM2G124377,2.647
GRMZM2G013767,2.647
GRMZM2G001415,2.647
AC155390.2_FG002,2.645
GRMZM2G356198,2.645
GRMZM2G132403,2.644
GRMZM2G369956,2.644
GRMZM2G031529,2.643
GRMZM2G392794,2.643
GRMZM2G083689,2.643
GRMZM5G876597,2.642
GRMZM2G453855,2.642
GRMZM2G081745,2.641
GRMZM2G126010,2.641
GRMZM2G044469,2.641
GRMZM2G057247,2.640
GRMZM2G139903,2.640
GRMZM2G479423,2.640
GRMZM2G059497,2.640
GRMZM2G061912,2.639
GRMZM2G156910,2.639
GRMZM2G445423,2.639
GRMZM2G066024,2.638
GRMZM2G044681,2.638
GRMZM2G335720,2.638
GRMZM2G170941,2.638
GRMZM2G043857,2.638
GRMZM2G032409,2.637
AC155496.2_FG009,2.637
GRMZM2G027272,2.637
GRMZM2G090542,2.637
GRMZM2G413162,2.637
GRMZM2G158093,2.637
GRMZM2G144701,2.637
GRMZM2G001500,2.637
GRMZM2G084863,2.636
GRMZM2G068982,2.635
GRMZM2G089010,2.634
GRMZM2G457562,2.633
GRMZM2G177198,2.633
GRMZM2G169890,2.633
GRMZM2G112352,2.632
GRMZM2G148796,2.632
GRMZM2G097768,2.631
GRMZM2G024733,2.631
GRMZM2G421541,2.630
GRMZM2G142870,2.630
GRMZM2G142875,2.629
GRMZM2G078379,2.629
GRMZM2G125544,2.629
GRMZM5G837364,2.628
GRMZM2G147721,2.627
GRMZM2G140051,2.626
GRMZM2G049211,2.626
GRMZM2G318652,2.626
GRMZM5G871262,2.625
GRMZM2G130558,2.625
GRMZM2G157933,2.625
GRMZM5G869564,2.625
GRMZM2G092888,2.624
GRMZM2G106140,2.624
GRMZM2G109268,2.624
GRMZM2G357806,2.624
GRMZM2G071172,2.624
GRMZM2G153181,2.624
GRMZM2G101932,2.624
GRMZM2G145069,2.623
GRMZM2G044762,2.623
GRMZM2G170927,2.623
GRMZM2G145480,2.622
GRMZM2G070837,2.621
GRMZM2G010545,2.621
GRMZM2G082330,2.620
GRMZM2G101287,2.619
GRMZM2G148925,2.619
GRMZM2G060271,2.619
GRMZM2G115670,2.619
AC235540.1_FG001,2.619
GRMZM2G305216,2.619
GRMZM2G050548,2.619
GRMZM2G049351,2.618
GRMZM2G138423,2.618
GRMZM2G162426,2.618
GRMZM2G115518,2.617
GRMZM5G837108,2.617
AC212886.3_FG006,2.617
GRMZM2G008497,2.616
GRMZM2G097987,2.615
GRMZM2G161452,2.615
GRMZM5G891276,2.614
GRMZM2G010054,2.614
GRMZM2G033931,2.614
GRMZM2G373717,2.614
GRMZM2G150884,2.614
GRMZM2G100815,2.614
AC234528.1_FG005,2.614
GRMZM2G171006,2.614
GRMZM2G029194,2.613
GRMZM2G068350,2.613
GRMZM2G142836,2.612
GRMZM2G037617,2.612
GRMZM2G152127,2.611
GRMZM2G432796,2.609
GRMZM2G120578,2.609
GRMZM2G083374,2.609
GRMZM2G347717,2.608
GRMZM2G019119,2.607
AC212112.4_FG002,2.606
GRMZM2G414043,2.606
GRMZM2G423229,2.605
GRMZM2G030814,2.605
GRMZM2G040876,2.605
GRMZM2G083497,2.604
GRMZM2G124239,2.604
GRMZM2G023444,2.602
GRMZM2G362341,2.601
GRMZM2G122443,2.601
GRMZM2G135808,2.600
GRMZM2G028758,2.599
GRMZM2G402171,2.598
GRMZM2G140577,2.598
GRMZM2G023372,2.598
GRMZM2G035461,2.598
GRMZM2G119778,2.597
GRMZM2G017741,2.597
GRMZM2G160996,2.596
GRMZM2G105005,2.596
GRMZM2G441091,2.595
GRMZM2G093598,2.595
GRMZM2G300375,2.595
GRMZM2G148200,2.594
GRMZM2G070075,2.594
GRMZM2G113355,2.594
GRMZM2G063492,2.593
GRMZM2G041463,2.593
GRMZM2G357923,2.593
GRMZM2G171620,2.592
GRMZM2G109159,2.592
GRMZM2G054028,2.592
GRMZM2G019874,2.591
GRMZM2G003875,2.591
GRMZM2G160922,2.591
GRMZM2G155314,2.591
GRMZM2G406712,2.591
GRMZM2G315264,2.590
GRMZM2G151285,2.589
GRMZM5G814310,2.589
GRMZM2G080375,2.589
GRMZM2G049013,2.589
GRMZM2G128929,2.589
GRMZM2G422340,2.588
GRMZM2G002555,2.588
GRMZM2G006894,2.588
GRMZM2G162663,2.588
GRMZM2G075900,2.587
GRMZM2G162266,2.586
GRMZM2G057374,2.586
GRMZM2G175258,2.586
GRMZM2G446625,2.586
GRMZM2G060516,2.585
GRMZM2G070312,2.585
GRMZM2G118286,2.585
GRMZM2G352248,2.584
GRMZM2G141517,2.583
GRMZM2G119737,2.583
GRMZM2G071675,2.582
GRMZM2G053958,2.581
GRMZM2G132301,2.580
GRMZM2G179462,2.580
GRMZM2G040247,2.580
GRMZM2G007885,2.578
GRMZM2G067242,2.578
GRMZM2G051330,2.578
GRMZM2G070092,2.577
GRMZM2G054811,2.577
GRMZM2G140614,2.577
GRMZM2G140837,2.576
GRMZM2G148211,2.576
GRMZM2G155384,2.576
GRMZM2G009019,2.575
GRMZM2G047093,2.575
GRMZM2G157462,2.574
GRMZM2G115859,2.574
AC218972.3_FG001,2.573
GRMZM2G301909,2.573
GRMZM2G099160,2.572
GRMZM2G101754,2.572
GRMZM2G168337,2.572
GRMZM2G327349,2.571
GRMZM2G000231,2.570
GRMZM2G039630,2.570
GRMZM2G048912,2.570
GRMZM2G146589,2.569
GRMZM2G011912,2.569
GRMZM2G028556,2.569
GRMZM2G022159,2.568
GRMZM2G010765,2.567
GRMZM2G129554,2.567
GRMZM2G086287,2.566
GRMZM5G821611,2.565
GRMZM2G006526,2.565
GRMZM2G166345,2.565
GRMZM2G126096,2.565
GRMZM2G128880,2.565
GRMZM2G028039,2.564
GRMZM2G005256,2.564
GRMZM2G097395,2.564
GRMZM2G111780,2.563
GRMZM2G010321,2.563
GRMZM2G128171,2.562
GRMZM2G305757,2.562
GRMZM2G048665,2.561
GRMZM2G432390,2.560
GRMZM2G000177,2.560
GRMZM2G309568,2.559
GRMZM2G042198,2.559
GRMZM2G438121,2.558
GRMZM5G864815,2.558
GRMZM2G122871,2.558
GRMZM2G147213,2.557
GRMZM2G398288,2.557
GRMZM2G418232,2.555
GRMZM2G436226,2.554
GRMZM2G703749,2.554
GRMZM2G147481,2.552
GRMZM2G095724,2.552
GRMZM2G058098,2.552
GRMZM2G177923,2.552
GRMZM2G049525,2.552
GRMZM2G099074,2.550
GRMZM2G155348,2.549
GRMZM2G045090,2.549
GRMZM2G028928,2.548
GRMZM2G097691,2.547
GRMZM2G086163,2.547
GRMZM2G072600,2.545
GRMZM2G169149,2.545
GRMZM2G077320,2.544
GRMZM2G181081,2.544
GRMZM2G105428,2.544
GRMZM2G051534,2.543
GRMZM2G085474,2.542
GRMZM2G117763,2.542
GRMZM2G071071,2.541
GRMZM2G462261,2.541
GRMZM2G029385,2.541
GRMZM2G317738,2.541
GRMZM2G082792,2.540
GRMZM2G338809,2.540
GRMZM5G821551,2.539
GRMZM2G125345,2.539
GRMZM2G505380,2.538
GRMZM2G081310,2.538
GRMZM2G346701,2.538
GRMZM5G880508,2.538
GRMZM2G380777,2.538
GRMZM2G179325,2.537
GRMZM2G161377,2.537
GRMZM2G025242,2.536
GRMZM2G042356,2.535
GRMZM2G079774,2.535
GRMZM2G099461,2.534
GRMZM2G151916,2.534
AC201815.4_FG001,2.533
GRMZM2G110869,2.533
GRMZM2G055209,2.532
GRMZM2G016640,2.532
GRMZM2G127717,2.532
GRMZM2G066614,2.531
GRMZM2G049950,2.531
GRMZM2G460090,2.531
GRMZM2G055020,2.530
GRMZM2G361605,2.530
GRMZM2G151440,2.530
GRMZM2G365160,2.530
GRMZM5G855994,2.529
GRMZM2G143330,2.529
GRMZM2G006661,2.529
GRMZM2G142379,2.528
AC217962.3_FG005,2.528
EF517601.1_FG012,2.528
GRMZM2G013761,2.528
GRMZM2G415343,2.528
GRMZM2G035985,2.527
GRMZM2G043893,2.527
GRMZM2G034748,2.526
GRMZM2G152470,2.526
GRMZM2G439457,2.526
GRMZM2G067789,2.525
AC204050.4_FG006,2.524
GRMZM2G135430,2.524
GRMZM2G107211,2.524
GRMZM2G172523,2.524
GRMZM2G320802,2.524
GRMZM2G357804,2.523
GRMZM2G104294,2.522
GRMZM2G134023,2.521
AC211532.3_FG001,2.521
GRMZM2G010664,2.521
GRMZM2G104254,2.520
GRMZM2G132712,2.519
GRMZM2G314133,2.519
GRMZM2G022258,2.519
GRMZM2G077256,2.519
GRMZM2G081538,2.519
GRMZM2G143354,2.517
AC233851.1_FG014,2.515
GRMZM2G177213,2.515
GRMZM2G050089,2.515
GRMZM2G145578,2.514
GRMZM2G064382,2.514
GRMZM2G008095,2.514
GRMZM2G077375,2.514
GRMZM2G055507,2.514
GRMZM5G824439,2.514
GRMZM2G045049,2.514
GRMZM2G057301,2.513
GRMZM2G077088,2.513
AC191575.2_FG001,2.513
GRMZM2G026892,2.513
GRMZM2G054023,2.513
GRMZM2G133937,2.513
GRMZM2G118485,2.512
GRMZM2G100286,2.512
GRMZM2G055216,2.512
AC216871.3_FG004,2.511
GRMZM2G178537,2.511
GRMZM2G159720,2.510
GRMZM2G173251,2.509
GRMZM2G001297,2.509
GRMZM2G115390,2.509
GRMZM2G015295,2.509
GRMZM2G163081,2.508
GRMZM2G057823,2.508
GRMZM2G169648,2.507
GRMZM2G026962,2.507
GRMZM2G028921,2.507
GRMZM2G323757,2.507
GRMZM5G819204,2.506
GRMZM2G129154,2.506
GRMZM2G142334,2.505
GRMZM2G144166,2.505
GRMZM2G083972,2.505
GRMZM2G438938,2.505
GRMZM2G382785,2.504
GRMZM5G836588,2.503
GRMZM2G114692,2.503
GRMZM2G162184,2.503
GRMZM2G073312,2.503
GRMZM2G019361,2.502
GRMZM2G090500,2.502
GRMZM2G467069,2.502
GRMZM2G061938,2.502
GRMZM2G154621,2.501
GRMZM2G307823,2.501
GRMZM2G051043,2.501
GRMZM2G369912,2.500
GRMZM2G027726,2.500
GRMZM2G160151,2.500
GRMZM2G177356,2.500
GRMZM2G174274,2.499
GRMZM2G080775,2.499
GRMZM2G016886,2.498
GRMZM2G177894,2.498
GRMZM5G872204,2.498
GRMZM2G137984,2.497
GRMZM2G004932,2.497
GRMZM5G893252,2.496
GRMZM2G028313,2.496
GRMZM2G068382,2.496
GRMZM2G069758,2.496
GRMZM2G003775,2.496
GRMZM2G146948,2.496
GRMZM2G015788,2.495
GRMZM2G101413,2.495
GRMZM2G066602,2.495
GRMZM2G104291,2.494
GRMZM2G127911,2.494
GRMZM2G018059,2.493
GRMZM2G341027,2.493
GRMZM2G005444,2.493
GRMZM2G005452,2.492
GRMZM2G029527,2.491
GRMZM2G103939,2.491
GRMZM2G130449,2.489
AC235541.1_FG002,2.489
GRMZM2G113899,2.489
GRMZM2G700806,2.489
GRMZM2G155123,2.488
GRMZM2G428987,2.488
GRMZM5G808350,2.488
GRMZM2G077897,2.488
GRMZM2G012393,2.488
GRMZM2G060554,2.487
GRMZM2G025340,2.487
GRMZM2G332843,2.487
AC205735.3_FG006,2.487
GRMZM2G331032,2.485
GRMZM2G144501,2.485
GRMZM2G062283,2.485
GRMZM2G457881,2.485
GRMZM2G325679,2.485
GRMZM2G164567,2.484
GRMZM2G155849,2.484
GRMZM2G090675,2.484
GRMZM2G061447,2.484
AC214448.3_FG007,2.484
GRMZM2G129169,2.483
GRMZM2G090722,2.483
GRMZM2G093186,2.482
GRMZM2G172342,2.481
GRMZM2G021233,2.481
GRMZM2G059669,2.481
GRMZM2G107021,2.480
GRMZM2G007277,2.480
GRMZM2G136283,2.480
GRMZM2G176780,2.479
GRMZM2G173404,2.479
GRMZM2G107651,2.479
GRMZM2G092129,2.478
GRMZM2G137348,2.478
GRMZM2G415846,2.477
GRMZM2G074037,2.477
GRMZM5G857992,2.477
GRMZM2G095124,2.476
GRMZM2G454449,2.476
GRMZM2G577405,2.476
GRMZM2G343048,2.476
GRMZM2G459642,2.475
GRMZM5G851405,2.475
GRMZM2G149281,2.472
GRMZM2G000632,2.472
GRMZM2G170322,2.472
GRMZM2G437977,2.471
GRMZM6G303298,2.470
GRMZM2G154316,2.470
GRMZM2G126957,2.470
GRMZM2G074466,2.469
GRMZM2G147709,2.469
GRMZM2G169462,2.468
GRMZM2G096596,2.468
GRMZM2G102404,2.468
GRMZM2G472693,2.467
GRMZM2G424832,2.467
GRMZM2G070381,2.467
GRMZM2G143450,2.467
GRMZM2G135655,2.467
GRMZM2G083836,2.467
GRMZM2G112336,2.466
GRMZM2G086757,2.466
GRMZM2G070562,2.466
GRMZM2G179281,2.466
GRMZM2G042981,2.466
GRMZM2G059590,2.465
GRMZM2G058276,2.465
GRMZM2G340084,2.464
GRMZM2G110726,2.464
GRMZM2G072210,2.464
GRMZM5G813584,2.464
GRMZM2G301246,2.464
GRMZM2G115420,2.463
GRMZM2G070881,2.463
GRMZM2G089959,2.463
GRMZM2G079617,2.463
GRMZM2G015126,2.462
GRMZM2G125617,2.461
GRMZM2G116506,2.461
GRMZM2G344967,2.461
GRMZM2G152921,2.460
GRMZM2G074158,2.459
GRMZM2G059039,2.459
GRMZM2G048243,2.458
GRMZM2G410831,2.458
GRMZM2G020008,2.458
GRMZM2G003794,2.458
GRMZM2G093858,2.457
GRMZM6G792203,2.457
GRMZM2G077458,2.456
GRMZM2G059981,2.456
AC233910.1_FG001,2.456
GRMZM5G858165,2.455
GRMZM2G169998,2.454
GRMZM2G362942,2.454
GRMZM2G344039,2.454
GRMZM2G069198,2.454
GRMZM2G154883,2.454
GRMZM2G091302,2.453
GRMZM2G418916,2.453
GRMZM2G310674,2.453
GRMZM2G412604,2.453
GRMZM2G025231,2.453
GRMZM2G006781,2.453
AC155376.2_FG004,2.452
AC208897.3_FG004,2.452
GRMZM2G086583,2.451
GRMZM2G024175,2.451
GRMZM2G170061,2.451
GRMZM2G002903,2.450
GRMZM2G120596,2.450
GRMZM2G314233,2.450
GRMZM2G011615,2.450
GRMZM5G829297,2.450
GRMZM2G155943,2.449
GRMZM2G049201,2.449
GRMZM2G070351,2.449
GRMZM2G076206,2.448
GRMZM2G109429,2.447
GRMZM5G834303,2.446
GRMZM2G179732,2.446
GRMZM2G043191,2.446
GRMZM2G042933,2.446
GRMZM2G469955,2.446
GRMZM2G166089,2.445
GRMZM2G098696,2.445
GRMZM2G393272,2.445
GRMZM2G117615,2.444
GRMZM2G146267,2.443
AC206266.3_FG001,2.443
GRMZM2G111657,2.442
GRMZM2G314955,2.442
GRMZM2G018706,2.440
GRMZM2G340527,2.440
GRMZM2G414159,2.440
GRMZM2G031588,2.440
GRMZM2G028718,2.439
GRMZM6G312787,2.439
AC203278.4_FG004,2.439
GRMZM2G137894,2.438
GRMZM2G306062,2.438
GRMZM2G317900,2.438
GRMZM2G114793,2.438
GRMZM2G009166,2.437
GRMZM2G084477,2.437
GRMZM2G007466,2.437
GRMZM2G041231,2.436
GRMZM2G077789,2.435
GRMZM2G050077,2.435
GRMZM2G066615,2.434
GRMZM2G037469,2.434
GRMZM2G160541,2.433
GRMZM2G120329,2.433
GRMZM2G446872,2.433
GRMZM2G094123,2.433
GRMZM2G037627,2.433
GRMZM2G006830,2.432
GRMZM2G097802,2.432
GRMZM2G047781,2.432
GRMZM2G064804,2.431
GRMZM2G042443,2.431
GRMZM2G310758,2.431
GRMZM2G412899,2.431
GRMZM2G017411,2.430
GRMZM2G004531,2.430
GRMZM2G092256,2.429
GRMZM2G176537,2.429
GRMZM2G106172,2.428
AC205521.3_FG003,2.428
GRMZM2G131998,2.427
GRMZM5G833406,2.427
GRMZM2G008093,2.426
GRMZM2G145756,2.425
GRMZM2G116638,2.425
GRMZM2G165679,2.425
AC233850.1_FG005,2.425
GRMZM2G151516,2.424
GRMZM2G137569,2.424
GRMZM2G162177,2.423
AC152495.1_FG017,2.423
GRMZM2G431156,2.423
GRMZM2G124794,2.423
GRMZM2G083284,2.422
GRMZM2G047949,2.422
GRMZM5G854613,2.421
GRMZM2G329300,2.421
GRMZM2G002765,2.421
GRMZM2G067456,2.420
GRMZM2G005536,2.420
GRMZM2G142740,2.420
GRMZM5G895933,2.419
GRMZM2G133854,2.419
GRMZM5G809078,2.419
GRMZM2G098212,2.419
GRMZM2G173425,2.418
GRMZM2G343024,2.418
GRMZM2G529313,2.418
GRMZM2G092797,2.418
GRMZM2G033175,2.418
GRMZM2G178704,2.417
GRMZM2G356423,2.417
GRMZM2G032910,2.416
GRMZM2G132531,2.416
GRMZM2G002999,2.415
GRMZM2G376731,2.415
GRMZM2G130987,2.415
GRMZM2G018281,2.415
GRMZM2G153683,2.415
AC208327.4_FG003,2.415
GRMZM2G052880,2.415
GRMZM2G059108,2.415
GRMZM2G131473,2.414
GRMZM2G034975,2.414
GRMZM2G039186,2.413
GRMZM2G080001,2.413
GRMZM2G363893,2.413
GRMZM2G162167,2.413
GRMZM2G010136,2.413
GRMZM2G139855,2.412
GRMZM2G041454,2.412
GRMZM2G328578,2.411
GRMZM2G028353,2.411
GRMZM2G096665,2.411
GRMZM2G469162,2.411
GRMZM2G117244,2.411
GRMZM2G077463,2.411
GRMZM2G100419,2.410
GRMZM2G003742,2.409
GRMZM2G419267,2.409
GRMZM2G312738,2.409
GRMZM2G555108,2.409
GRMZM2G164400,2.409
GRMZM2G146190,2.409
GRMZM2G117685,2.408
GRMZM2G030523,2.408
GRMZM2G113129,2.408
GRMZM2G123440,2.407
GRMZM5G852177,2.407
GRMZM2G020766,2.407
GRMZM2G025157,2.407
GRMZM2G568912,2.406
GRMZM2G393471,2.406
GRMZM2G006676,2.406
GRMZM2G401934,2.406
GRMZM2G475360,2.405
GRMZM2G058910,2.405
GRMZM2G002606,2.403
GRMZM2G353483,2.403
GRMZM2G028813,2.402
GRMZM2G401463,2.402
GRMZM2G064311,2.402
GRMZM2G426591,2.402
GRMZM2G179217,2.402
GRMZM2G021885,2.401
GRMZM2G152815,2.401
GRMZM2G060373,2.401
