GeneID,1H,4H,6H,24H
GRMZM2G068755,0,0.65737405,0.689062637,0.887023133
GRMZM2G068763,0,0,0,-1.276581933
GRMZM2G068862,0,0.895446535,0.962352183,0.56150867
GRMZM2G068904,0,0,0,-1.156160356
GRMZM2G068913,1.263917849,0,0,0
GRMZM2G068917,0.757121865,0.958686388,0.843633886,0
GRMZM2G068943,0,-0.900095775,-0.99466404,-1.352022846
GRMZM2G068947,-1.154204048,-1.89798619,-2.033257035,-2.691358167
GRMZM2G068955,0,0,-1.359144022,-0.958481454
GRMZM2G068963,0,0,-1.055550054,-1.3564239
GRMZM2G068967,4.51677962,4.067776497,3.832454084,3.684115403
GRMZM2G068973,1.52184126,1.07327735,1.236386936,0.723508258
GRMZM2G069018,0.929472711,0,0,0
GRMZM2G069024,-1.004495735,-1.230005583,-1.263582219,-0.956257305
GRMZM2G069085,0,-1.134599829,-0.899720737,-1.224113458
GRMZM2G069092,1.426850588,0,0,0
GRMZM2G069174,0,1.345992353,1.535269068,1.14749991
GRMZM2G069195,0,1.21977853,1.362880765,1.259737065
GRMZM2G069198,0,0.775872014,1.023895768,0.773210941
GRMZM2G069203,0.820663677,0,0,0
GRMZM2G069316,0,0,0,0.688608052
GRMZM2G069317,0,-1.532544648,0,-1.058644389
GRMZM2G069405,0,0,0,-0.973207761
GRMZM2G069486,0,-0.600235125,-0.699602407,-0.781106478
GRMZM2G069542,2.130516937,3.067604004,3.489152086,3.378737335
GRMZM2G069594,0.908976933,1.020573235,1.532924135,1.100627883
GRMZM2G069618,0.95137309,0.722725706,0,0
GRMZM2G069649,0.703731109,0,0,-1.092048131
GRMZM2G069678,0,0.697864225,0.981284369,0
GRMZM2G069694,1.238299284,1.545788272,1.524260358,0
GRMZM2G069708,0,0,-0.72282186,-0.705467851
GRMZM2G069713,2.215947409,2.389766716,1.983449604,1.170173482
GRMZM2G069722,-1.779849773,-1.962817555,-1.80781577,-1.671899535
GRMZM2G069762,0,0,0.815218529,0
GRMZM2G069773,0,0,0,-0.727830948
GRMZM2G069807,-0.746509411,0,-1.12273119,-1.294264953
GRMZM2G069816,1.177026206,1.706820161,1.569949324,1.122215055
GRMZM2G069911,-1.313324991,-1.210207249,-1.692653033,-1.720367721
GRMZM2G069922,1.52305065,0,0,0.82867669
GRMZM2G069976,3.12048891,1.908674747,2.118916899,2.470511207
GRMZM2G070011,-0.963269305,-1.243080655,-1.322166671,-2.126902865
GRMZM2G070075,1.534557996,0,0,0.81531849
GRMZM2G070111,0,0,-0.902104325,-0.900149526
GRMZM2G070138,1.183770666,0.532469382,1.015319486,1.012505894
GRMZM2G070167,-1.267969116,-1.318377728,-1.436469967,-1.611962365
GRMZM2G070199,1.968578681,2.57139869,2.666441578,2.071624426
GRMZM2G070211,0.680362831,0.59962309,0.760549786,0
GRMZM2G070218,1.906563543,2.773326137,2.723106105,1.876861286
GRMZM2G070271,0,-1.219941139,-1.554752584,-1.538173314
GRMZM2G070273,2.865024424,0,0,0
GRMZM2G070279,2.09026427,0,2.011784393,1.836301467
GRMZM2G070304,0,6.67258821,6.848743707,5.789551712
GRMZM2G070315,-1.442463365,-1.448991904,-1.816179643,-2.516828499
GRMZM2G070322,2.666487652,3.939388642,3.597287706,3.810122149
GRMZM2G070351,0,0,0.901898992,1.151232087
GRMZM2G070356,0,-1.163149294,-2.372034178,-2.653592101
GRMZM2G070360,0,0.784991131,0.832893849,0.946223173
