GeneID,ZmPep3
GRMZM2G493395,3.055679271
GRMZM2G173192,3.045793014
GRMZM2G479423,3.039922705
GRMZM2G065585,3.038065168
GRMZM2G411938,3.020216488
GRMZM2G051806,3.009885714
GRMZM2G163709,2.990427175
GRMZM2G087059,2.98880296
GRMZM2G156632,2.987201173
GRMZM2G095280,2.977000323
GRMZM2G093826,2.969503541
GRMZM2G060918,2.957471359
GRMZM2G113203,2.943338251
GRMZM2G014844,2.921544195
GRMZM2G140996,2.915601776
GRMZM2G458659,2.903013315
GRMZM5G809218,2.883886481
GRMZM2G181236,2.87459146
GRMZM2G119970,2.870250762
GRMZM2G430623,2.853601774
GRMZM2G179528,2.851373206
GRMZM2G081957,2.806880137
GRMZM2G041418,2.796666408
GRMZM2G107228,2.785034636
GRMZM2G565911,2.780784312
GRMZM2G159477,2.777807816
GRMZM2G048616,2.777292481
GRMZM2G067225,2.758769279
GRMZM2G155058,2.756858458
GRMZM2G090432,2.751593364
GRMZM2G124175,2.751421364
GRMZM2G138008,2.747894565
GRMZM2G384884,2.742547481
GRMZM2G149216,2.725590734
GRMZM2G384755,2.723930854
GRMZM2G431156,2.716321501
GRMZM2G051219,2.712846728
GRMZM2G427815,2.691224859
GRMZM2G061806,2.680361702
GRMZM2G000236,2.680168486
GRMZM2G068682,2.670124873
GRMZM2G700188,2.63859297
GRMZM2G020523,2.631701361
GRMZM2G404078,2.625718559
GRMZM2G139811,2.602233257
GRMZM2G135387,2.601330223
GRMZM2G449094,2.600022388
GRMZM2G397616,2.597923404
GRMZM2G133781,2.594105357
GRMZM2G418153,2.59003946
GRMZM2G176998,2.580517849
GRMZM2G394410,2.562111464
GRMZM2G324903,2.559092605
GRMZM2G141026,2.555573197
GRMZM2G331368,2.555235501
GRMZM2G161310,2.546628558
GRMZM5G852609,2.538619125
GRMZM2G011523,2.537634436
GRMZM2G024476,2.534567781
GRMZM2G477139,2.528108643
GRMZM2G002178,2.494567462
GRMZM2G138074,2.486256286
GRMZM2G164405,2.484360268
GRMZM2G030436,2.478843503
AC198725.4_FG009,2.473336849
GRMZM2G074248,2.471344874
GRMZM2G033098,2.470113795
GRMZM2G047384,2.46222505
GRMZM2G053493,2.439540063
GRMZM2G079616,2.436394542
GRMZM2G077316,2.429458212
GRMZM2G178415,2.425099297
GRMZM2G054040,2.408020009
GRMZM2G039278,2.396486176
GRMZM2G138382,2.373031598
GRMZM2G415579,2.365449802
GRMZM2G071390,2.354959916
GRMZM2G134279,2.348922388
GRMZM2G041699,2.318736926
GRMZM2G000510,2.317093668
GRMZM2G382569,2.302049375
AC207043.3_FG002,2.295775238
GRMZM2G028677,2.288761621
GRMZM2G407825,2.287642562
AC196726.2_FG001,2.286460808
GRMZM2G112524,2.285783542
GRMZM2G108133,2.285470299
GRMZM2G447632,2.285082098
GRMZM2G169329,2.284360547
GRMZM2G176495,2.281832146
GRMZM2G145972,2.279968456
GRMZM2G094375,2.276777386
GRMZM2G382557,2.269187253
GRMZM2G138370,2.26902777
GRMZM2G162486,2.265665471
GRMZM2G154090,2.261987558
GRMZM2G165099,2.252114401
GRMZM2G009045,2.251769902
AC205471.4_FG003,2.249170965
GRMZM2G134045,2.248285231
GRMZM2G102497,2.244645213
GRMZM2G075283,2.243379956
GRMZM2G118610,2.241406477
GRMZM2G087827,2.240628169
GRMZM2G072529,2.237758221
GRMZM2G173195,2.235805412
GRMZM2G007729,2.218310353
GRMZM2G075461,2.218280882
GRMZM2G099619,2.193013677
GRMZM2G144997,2.187513393
GRMZM2G569948,2.182425025
GRMZM2G090779,2.181264508
GRMZM2G177340,2.176406938
GRMZM2G124417,2.168858728
GRMZM2G026470,2.164587385
GRMZM2G053324,2.159402623
GRMZM5G811095,2.155241302
GRMZM2G132509,2.144967182
GRMZM2G134708,2.143071144
GRMZM2G060561,2.139724293
GRMZM2G359581,2.138330323
GRMZM2G149935,2.137538041
GRMZM2G008216,2.130061392
GRMZM2G117993,2.127446881
GRMZM2G166218,2.123646096
AC205413.4_FG001,2.123257748
GRMZM2G148904,2.123103163
GRMZM2G333980,2.112536335
GRMZM2G101000,2.111900834
GRMZM2G350225,2.098227023
GRMZM2G334181,2.091016091
GRMZM2G134476,2.089166631
AC217947.4_FG002,2.084652795
GRMZM2G170734,2.079263943
GRMZM2G129140,2.075764766
GRMZM2G131055,2.068798581
GRMZM2G046070,2.06361828
GRMZM2G133407,2.061817122
GRMZM2G446201,2.057451295
GRMZM2G021786,2.056898022
GRMZM2G071374,2.054412456
GRMZM2G352855,2.050245786
GRMZM2G010433,2.048446281
GRMZM2G067789,2.036986058
GRMZM2G120320,2.034111855
